Record_ID,Country,Year,Population,Disease_Name,Cases_Reported,Deaths_Reported,Recovered,Vaccination_Coverage_Pct,Healthcare_Expenditure_PctGDP,Urbanization_Rate_Pct,Avg_Temperature_C,Avg_Humidity_Pct
1,United States,2007,286911528,Malaria,1056897,14869,1007685,69.97,8.88,85.02,17.1,40.2
2,United States,2008,290930150,Influenza,508109,1068,497425,70.36,11.32,85.51,17.9,60.2
3,United States,2009,291839470,Malaria,119217,3310,112045,73.5,8.68,87.4,7.5,53.3
4,United States,2010,296490761,Zika,106792,56,102013,75.36,8.57,77.37,16.2,58.9
5,United States,2011,304163338,Hepatitis A,363691,333,352523,65.74,9.01,84.4,19.1,63.8
6,United States,2012,306350996,Malaria,983213,27786,912632,56.41,10.56,85.35,7.3,66.7
7,United States,2013,316554752,Zika,38124,8,36721,84.88,11.91,84.06,6.9,63.1
8,United States,2014,312334722,Zika,58345,19,57603,43.52,8.08,84.42,13.8,40.3
9,United States,2015,322596003,Dengue,557123,7128,544691,45.33,9.72,82.2,12.0,65.5
10,United States,2016,322439966,Malaria,178792,4918,172999,75.87,10.16,75.25,6.4,66.4
11,United States,2017,320988558,Cholera,242827,7107,228973,79.51,8.62,80.04,19.5,60.3
12,United States,2018,320849124,Zika,10856,4,10341,71.33,10.32,75.68,6.2,63.0
13,United States,2019,336270560,Hepatitis A,310069,434,294193,44.03,8.85,79.51,19.0,70.8
14,United States,2020,324202852,Cholera,641308,8264,629343,45.89,10.21,79.63,14.1,65.1
15,United States,2021,341388936,Cholera,34828,463,33596,78.81,10.24,76.9,19.2,64.2
16,United States,2022,344431722,Influenza,249193,233,239241,88.63,9.63,85.55,7.3,72.5
17,United States,2023,347388572,Influenza,1288658,1152,1231310,87.22,8.89,88.88,11.9,50.7
18,United States,2024,347747236,Cholera,537224,14697,515511,71.93,11.93,75.65,13.9,52.1
19,United States,2025,357991810,COVID-19,9736708,90507,9184256,95.0,10.49,86.28,6.9,71.5
20,India,2007,1205889672,Zika,180949,43,178311,63.64,4.9,64.64,25.7,55.5
21,India,2008,1246263841,Cholera,707809,18483,684112,42.54,6.92,63.34,28.1,55.9
22,India,2009,1251499279,Hepatitis A,2398193,2462,2389710,53.71,6.24,58.69,28.4,63.4
23,India,2010,1283029958,Zika,304673,120,294840,82.12,4.61,63.8,24.2,42.7
24,India,2011,1249361411,Measles,291545,7792,278076,86.94,6.73,45.59,29.0,60.1
25,India,2012,1263071671,Ebola,27931,3667,23795,77.35,4.02,49.95,25.7,44.5
26,India,2013,1318577646,Hepatitis A,898056,1183,884379,92.32,4.11,70.05,25.8,66.2
27,India,2014,1288319129,Dengue,3757287,26721,3599162,82.18,2.84,63.22,28.0,44.0
28,India,2015,1282148135,Influenza,4385721,8244,4191020,73.02,2.61,74.52,28.3,52.2
29,India,2016,1291855119,Yellow Fever,575991,29571,527688,24.64,6.6,68.24,25.7,68.9
30,India,2017,1367679784,Hepatitis A,507566,354,486965,58.72,6.4,66.04,24.2,40.4
31,India,2018,1370671681,Cholera,1772775,38456,1692370,69.2,4.13,67.38,24.6,64.6
32,India,2019,1344246088,Measles,1392691,30364,1294050,89.14,3.48,55.83,24.4,64.8
33,India,2020,1419271620,Influenza,1019608,880,970753,66.28,6.11,57.02,22.6,62.0
34,India,2021,1419820189,Dengue,4681404,51014,4530014,71.27,2.3,73.8,22.8,66.7
35,India,2022,1372363300,Cholera,1122089,12688,1096305,54.55,5.96,62.69,28.4,46.9
36,India,2023,1434409939,Malaria,14584690,420347,13799382,67.16,2.4,46.2,25.5,51.3
37,India,2024,1412677116,Measles,1621199,30203,1568449,94.89,4.18,69.43,29.8,56.5
